NameOfStation,Line,Year,IncomingPassengers,OutgoingPassengers,global_id
Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,2022,18654071,17986485,2363398902
Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,2023,19632049,18849161,2581188946
Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,2024,14651864,14046933,2664615920
Бульвар Рокоссовского,Московское центральное кольцо,2021,3396919,3565787,1139050938
Бульвар Рокоссовского,Московское центральное кольцо,2022,3459196,3613119,2363426609
Бульвар Рокоссовского,Московское центральное кольцо,2023,3275086,3407741,2581190458
Бульвар Рокоссовского,Московское центральное кольцо,2024,2267635,2355041,2664648747
Бульвар Рокоссовского,Сокольническая линия,2021,7120502,7136150,1139049543
Бульвар Рокоссовского,Сокольническая линия,2022,7971320,7916514,2363398903
Бульвар Рокоссовского,Сокольническая линия,2023,8455588,8376441,2581188948
Бульвар Рокоссовского,Сокольническая линия,2024,6388727,6347347,2664615921
Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,2021,3077661,3046413,1139049576
Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,2022,3520861,3469186,2363398715
Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,2023,3985134,3923805,2581188759
Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,2024,2998072,2961500,2664615772
Бунинская аллея,Бутовская линия Лёгкого метро,2021,6343120,6214069,1138976305
Бунинская аллея,Бутовская линия Лёгкого метро,2022,6988216,6828839,2363398717
Бунинская аллея,Бутовская линия Лёгкого метро,2023,7519366,7329051,2581188761
Бунинская аллея,Бутовская линия Лёгкого метро,2024,5632592,5492776,2664615775
Бутырская,Люблинско-Дмитровская линия,2021,4461690,4616942,1138976319
Бутырская,Люблинско-Дмитровская линия,2022,4758024,4917783,2363398802
Бутырская,Люблинско-Дмитровская линия,2023,5097530,5230865,2581188849
Бутырская,Люблинско-Дмитровская линия,2024,4010691,4124867,2664615842
ВДНХ,Калужско-Рижская линия,2021,20823892,20055865,1138976084
ВДНХ,Калужско-Рижская линия,2022,23993869,22892463,2363398760
ВДНХ,Калужско-Рижская линия,2023,26560078,25225416,2581188806
ВДНХ,Калужско-Рижская линия,2024,21879211,20463666,2664615813
Варшавская,Большая кольцевая линия,2023,7518853,7358278,2581190181
Варшавская,Большая кольцевая линия,2024,7902071,7767159,2664616009
Верхние Котлы,Московское центральное кольцо,2021,5523560,5750773,1138976482
Верхние Котлы,Московское центральное кольцо,2022,6151175,6394783,2363398851
Верхние Котлы,Московское центральное кольцо,2023,5958681,6153494,2581189597
Верхние Котлы,Московское центральное кольцо,2024,4008298,4147296,2664615878
Верхние Лихоборы,Люблинско-Дмитровская линия,2021,3912808,3873133,1138976309
Верхние Лихоборы,Люблинско-Дмитровская линия,2022,4444134,4370187,2363398797
Верхние Лихоборы,Люблинско-Дмитровская линия,2023,4723270,4657547,2581188844
Верхние Лихоборы,Люблинско-Дмитровская линия,2024,3570746,3536624,2664615838
Владыкино,Московское центральное кольцо,2021,2421659,3078344,1139050941
Владыкино,Московское центральное кольцо,2022,2641419,3456273,2363426402
Владыкино,Московское центральное кольцо,2023,2557298,3273823,2581190433
Владыкино,Московское центральное кольцо,2024,1857766,2376204,2664648737
Владыкино,Серпуховско-Тимирязевская линия,2021,5083611,5994934,1139049573
Владыкино,Серпуховско-Тимирязевская линия,2022,5453585,6436678,2363398878
Владыкино,Серпуховско-Тимирязевская линия,2023,5669390,6511371,2581188923
Владыкино,Серпуховско-Тимирязевская линия,2024,4300980,4882194,2664615900
Водный стадион,Замоскворецкая линия,2021,12276981,12246986,1138976020
Водный стадион,Замоскворецкая линия,2022,13451934,13429650,2363398722
Водный стадион,Замоскворецкая линия,2023,13901978,13857417,2581188767
Водный стадион,Замоскворецкая линия,2024,10335678,10372444,2664615779
Войковская,Замоскворецкая линия,2021,14931064,15015433,1138976021
Войковская,Замоскворецкая линия,2022,15419251,15555058,2363398723
Войковская,Замоскворецкая линия,2023,15706756,15805398,2581188768
Войковская,Замоскворецкая линия,2024,11827738,11916844,2664615780
Волгоградский проспект,Таганско-Краснопресненская линия,2021,6540208,6738480,1138976195
Волгоградский проспект,Таганско-Краснопресненская линия,2022,7137220,7298630,2363398964
Волгоградский проспект,Таганско-Краснопресненская линия,2023,7289755,7379920,2581189007
Волгоградский проспект,Таганско-Краснопресненская линия,2024,5471251,5583259,2664615974
Волжская,Люблинско-Дмитровская линия,2021,5406791,5537631,1138976405
Волжская,Люблинско-Дмитровская линия,2022,5579190,5660157,2363398815
Волжская,Люблинско-Дмитровская линия,2023,5481877,5536127,2581188863
Волжская,Люблинско-Дмитровская линия,2024,3960021,4008328,2664615854
Волоколамская,Арбатско-Покровская линия,2021,5465398,5379570,1138975997
Волоколамская,Арбатско-Покровская линия,2022,6047857,5890837,2363398662
Волоколамская,Арбатско-Покровская линия,2023,6313462,6124558,2581188696
Волоколамская,Арбатско-Покровская линия,2024,4892520,4742545,2664615731
